Choicesituation,Block,question,mode,cost,alt,striper_length,bluefish_length,striper_keep,striper_rel,bluefish_keep,bluefish_rel,opt_out,fish_other_species,version
1,1,9,CHARTER BOAT,75,1,43,20,1,0,1,0,0,0,CHARTER BOAT Block 1
1,1,9,CHARTER BOAT,150,2,43,24,3,4,0,0,0,0,CHARTER BOAT Block 1
1,1,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
1,1,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
2,1,10,CHARTER BOAT,225,1,18,16,0,1,0,0,0,0,CHARTER BOAT Block 1
2,1,10,CHARTER BOAT,300,2,38,20,0,3,0,0,0,0,CHARTER BOAT Block 1
2,1,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
2,1,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
3,1,11,CHARTER BOAT,150,1,43,28,1,0,1,0,0,0,CHARTER BOAT Block 1
3,1,11,CHARTER BOAT,225,2,33,12,1,6,0,0,0,0,CHARTER BOAT Block 1
3,1,11,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
3,1,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
4,1,12,CHARTER BOAT,225,1,28,16,0,3,0,0,0,0,CHARTER BOAT Block 1
4,1,12,CHARTER BOAT,300,2,28,16,0,3,1,2,0,0,CHARTER BOAT Block 1
4,1,12,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
4,1,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
5,1,13,CHARTER BOAT,225,1,33,12,1,0,0,0,0,0,CHARTER BOAT Block 1
5,1,13,CHARTER BOAT,300,2,28,34,1,2,1,0,0,0,CHARTER BOAT Block 1
5,1,13,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
5,1,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
6,1,14,CHARTER BOAT,225,1,33,12,0,0,6,1,0,0,CHARTER BOAT Block 1
6,1,14,CHARTER BOAT,300,2,38,34,1,0,6,1,0,0,CHARTER BOAT Block 1
6,1,14,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 1
6,1,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 1
7,2,9,CHARTER BOAT,300,1,38,28,2,1,0,0,0,0,CHARTER BOAT Block 2
7,2,9,CHARTER BOAT,150,2,18,12,0,1,0,0,0,0,CHARTER BOAT Block 2
7,2,9,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
7,2,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
8,2,10,CHARTER BOAT,150,1,43,28,1,0,1,0,0,0,CHARTER BOAT Block 2
8,2,10,CHARTER BOAT,75,2,18,16,0,1,0,0,0,0,CHARTER BOAT Block 2
8,2,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
8,2,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
9,2,11,CHARTER BOAT,300,1,43,12,1,6,1,0,0,0,CHARTER BOAT Block 2
9,2,11,CHARTER BOAT,150,2,18,34,1,0,1,0,0,0,CHARTER BOAT Block 2
9,2,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
9,2,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
10,2,12,CHARTER BOAT,150,1,38,34,2,1,0,0,0,0,CHARTER BOAT Block 2
10,2,12,CHARTER BOAT,300,2,18,12,2,5,1,0,0,0,CHARTER BOAT Block 2
